"app_id","review_text","Grafik","AI","Oynanis","Ses ve Muzik","Oyun Dunyasi","Topluluk ve Sosyal","Hikaye ve Senaryo","Performans ve Teknik","Genel Duygu"
"1245620","İlk 40 saatimde nereye gitmem gerektiğini ne yapmam gerektiğini ilk soulslike oyunum olduğu için ayıkamadım, o amına kodumun tree sentineline sürekli öldüm ve oyunu sildim. 2 yıl sonra rehber videoları izleyerek tekrar başladım ve şuan aşırı keyif alıyorum. Tree sentineli de siktim içinden geçtim intikamımı aldım. Oyun çok güzel yapanların eline sağlık.","Nötr","Nötr","Olumlu","Nötr","Olumlu","Nötr","Nötr","Nötr","Olumlu"
"1245620","Bu oyunda Malenia bossunu tasarlıyan arkadaşa selamlar olsun.\nHaftada 6 gün günde 3 saat date çıktım buradan selamlarım olsun.\nOyunun eksiği yok fazlası var optimizasyonu almıyom o zaten direk yok.\nUmarım FromSoftware umarım böyle kaliteli eserlere türkçe dil desteğide ekler gelecek oyunlarına.\nOyuna puanım 10/10 mükemmel kesinlikle alın oynayın.","Olumlu","Nötr","Olumlu","Nötr","Olumlu","Nötr","Nötr","Olumsuz","Olumlu"
"1245620","Güzel oyun  atmosfer kontroller vs. güzel ama benlik değil","Olumlu","Nötr","Olumlu","Nötr","Olumlu","Nötr","Nötr","Nötr","Nötr"
"1245620","Oyunun devasa bir haritası var açık dünya olması çok güzel olmuş keşfedebileceğiniz tonlarca alan var ve bunların çoğunun birbirinden farklı ve kopyalanmadan tasarlanması oyunu çok uzun saatler sıkılmadan oynanabilmesini sağlıyor. Çok fazla silah büyü ve sınıf çeşidi var ister oyun sırasında ister yeni oyunda kendi oynayış stilinizi değiştirebilirsiniz. Boss tasarımları ve oynanışları inanılmaz olmuş. Bazı boss savaşları gerçekten çok zordu ve tekrar tekrar denemek zorunda kalıyorsunuz ama en sonunda kazandığınızdaki his çok güzeldi. Oyunun atmosferi bölgeleri ve şehir tasarımları çok iyiydi en çok keyif aldığım şeylerden biri bu oldu. Genel olarak benim için inanılmaz iyi bir oyundu. Herkesin deneyimlemesini tavsiye ederim.","Olumlu","Olumlu","Olumlu","Olumlu","Olumlu","Nötr","Nötr","Nötr","Olumlu"
"1245620","oynu bitirdiğinizde huzurluca ölebilirisiniz","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr"
"1245620","Dünyanın en iyi 5 oyunundan biri","Nötr","Nötr","Olumlu","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr"
"1245620","MÜKEMMEL","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Olumlu"
"1245620","137. saat hala build oturtamadım","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr"
"1245620","başyapıt. zor gelecektir. pes etmeyin. mücadele edin.farklı yollar deneyin.keşif yapın,tadını çıkarın. hayat gibi. 
not: ilk souls oyunum.","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Olumlu"
"1245620","very good","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr"
"1245620","A man cannot kill a god, not even you.","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr"
"1245620","MALENİA SENİN ANNENİ TERS DÜZ YATIRIP FİRE GİANTIN GÖTÜNE POMPALAYIM!!!!!!!","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr","Olumsuz"
"1245620","Normalde souls oyunlarını oynamam, sevdiğim tarzda oyunlar değiller ancak bu arkadaşa nedense bir kanım ısındı, açık dünyası ve atmosferi çok keyifli.","Nötr","Nötr","Olumlu","Nötr","Nötr","Nötr","Nötr","Nötr","Nötr"
